stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
AMI:SP:RAINE2,,Rainneville,,2.312798,49.914551,,,0,AMI:SA:place_RAIN,,,0,
AMI:SP:RAIX1,,Rue d'Aix,,2.316778,49.871114,,,0,AMI:SA:place_RAIX,,,0,
AMI:SP:RAIX2,,Rue d'Aix,,2.316694,49.871078,,,0,AMI:SA:place_RAIX,,,0,
AMI:SP:RAOUT1,,Rue du 31 Août,,2.32382,49.878916,,,0,AMI:SA:place_AOUT,,,0,
AMI:SP:RAOUT2,,Rue du 31 Août,,2.323888,49.878881,,,0,AMI:SA:place_AOUT,,,0,
AMI:SP:RCASS1,,René Cassin,,2.337797,49.912183,,,0,AMI:SA:place_RCAS,,,0,
AMI:SP:RCASS2,,René Cassin,,2.337227,49.912111,,,0,AMI:SA:place_RCAS,,,0,
AMI:SP:RDOUA1,,Roland Douay,,2.313442,49.905501,,,0,AMI:SA:place_RDOU,,,0,
AMI:SP:RDOUA2,,Roland Douay,,2.313316,49.905411,,,0,AMI:SA:place_RDOU,,,0,
AMI:SP:RGOBLN1,,Emile Zola,,2.302192,49.89045,,,0,AMI:SA:place_EZOL,,,0,
AMI:SP:RGOBLN2,,René Goblet,,2.302247,49.891276,,,0,AMI:SA:place_RGOB,,,0,
AMI:SP:RGOUR1,,Raymond Gourdain,,2.331558,49.877356,,,0,AMI:SA:place_RGOU,,,0,
AMI:SP:RGOUR2,,Raymond Gourdain,,2.331072,49.87679,,,0,AMI:SA:place_RGOU,,,0,
AMI:SP:RICOR1,,Cayeux,,2.332806,49.901463,,,0,AMI:SA:place_RICO,,,0,
AMI:SP:RICOR2,,Cayeux,,2.332195,49.901077,,,0,AMI:SA:place_RICO,,,0,
AMI:SP:RIVERY,,La Haute Borne,,2.334919,49.914625,,,0,AMI:SA:place_RIVE,,,0,
AMI:SP:ROGERAN,,République,,2.337018,49.894477,,,0,AMI:SA:place_ROGE,,,0,
AMI:SP:RONSA1,,Ronsard,,2.316803,49.91254,,,0,AMI:SA:place_RONS,,,0,
AMI:SP:RONSA2,,Ronsard,,2.316441,49.912693,,,0,AMI:SA:place_RONS,,,0,
AMI:SP:ROPE1,,Robert Petit,,2.327372,49.899927,,,0,AMI:SA:place_ROPE,,,0,
AMI:SP:RORON1,,Romain Rolland,,2.302661,49.9155,,,0,AMI:SA:place_RORO,,,0,
AMI:SP:RORON2,,Romain Rolland,,2.302953,49.91559,,,0,AMI:SA:place_RORO,,,0,
AMI:SP:ROSERN1,,La Rose Rouge,,2.351717,49.872758,,,0,AMI:SA:place_ROSE,,,0,
AMI:SP:ROSERN2,,La Rose Rouge,,2.351342,49.872956,,,0,AMI:SA:place_ROSE,,,0,
AMI:SP:ROTONN1,,Rotonde,,2.262243,49.877279,,,0,AMI:SA:place_ROTO,,,0,
AMI:SP:ROTONN2,,Rotonde,,2.262534,49.877378,,,0,AMI:SA:place_ROTO,,,0,
AMI:SP:ROYAU1,,Royaume-Uni,,2.28774,49.874724,,,0,AMI:SA:place_ROYAU,,,0,
AMI:SP:ROYAU2,,Royaume-Uni,,2.287587,49.875119,,,0,AMI:SA:place_ROYAU,,,0,
AMI:SP:RPMET1,,Pont-de-Metz,,2.248073,49.87621,,,0,AMI:SA:place_RPME,,,0,
AMI:SP:RPMET2,,Pont-de-Metz,,2.24602,49.876557,,,0,AMI:SA:place_RPME,,,0,
AMI:SP:RROUEN1,,Route de Rouen,,2.272638,49.885814,,,0,AMI:SA:place_ROUE,,,0,
AMI:SP:RROUEN2,,Route de Rouen,,2.272152,49.885841,,,0,AMI:SA:place_ROUE,,,0,
AMI:SP:RUELL1,,Edouard Ruelle,,2.423127,49.87447,,,0,AMI:SA:place_RUEL,,,0,
AMI:SP:RUELL2,,Edouard Ruelle,,2.422955,49.875151,,,0,AMI:SA:place_RUEL,,,0,
AMI:SP:RUNIV1,,Résidences Universitaires,,2.269388,49.874616,,,0,AMI:SA:place_RUNI,,,0,
AMI:SP:RUNIV2,,Résidences Universitaires,,2.270291,49.87459,,,0,AMI:SA:place_RUNI,,,0,
AMI:SP:RVERO,,Résidence Véronique,,2.303497,49.827659,,,0,AMI:SA:place_RVER,,,0,
AMI:SP:SAGEB1,,Sagebien,,2.290613,49.878227,,,0,AMI:SA:place_SAGE,,,0,
AMI:SP:SAGEB2,,Sagebien,,2.289765,49.877939,,,0,AMI:SA:place_SAGE,,,0,
AMI:SP:SAINSE,,Sains-en-Amiénois,,2.315621,49.815966,,,0,AMI:SA:place_SAIN,,,0,
AMI:SP:SANTEN1,,Espace Santé,,2.302454,49.913928,,,0,AMI:SA:place_SANT,,,0,
AMI:SP:SANTEN2,,Espace Santé,,2.302704,49.914045,,,0,AMI:SA:place_SANT,,,0,
AMI:SP:SAVEUS,,Saveuse,,2.212363,49.90068,,,0,AMI:SA:place_SAVE,,,0,
AMI:SP:SOBON1,,Sobo,,2.336018,49.878927,,,0,AMI:SA:place_SOBO,,,0,
AMI:SP:SOBON2,,Sobo,,2.334698,49.879448,,,0,AMI:SA:place_SOBO,,,0,
AMI:SP:SQLAC1,,Square Laclos,,2.327293,49.876745,,,0,AMI:SA:place_SQLA,,,0,
AMI:SP:SQLAC3,,Square Laclos,,2.326501,49.877221,,,0,AMI:SA:place_SQLA,,,0,
AMI:SP:SQLAC6,,Square Laclos,,2.325862,49.87661,,,0,AMI:SA:place_SQLA,,,0,
AMI:SP:STADE1,,Stade,,2.398703,49.874431,,,0,AMI:SA:place_STAD,,,0,
AMI:SP:STADE2,,Stade,,2.399327,49.873632,,,0,AMI:SA:place_STAD,,,0,
AMI:SP:STANON1,,Stade Nord,,2.309141,49.915106,,,0,AMI:SA:place_STAN,,,0,
AMI:SP:STANON2,,Stade Nord,,2.309141,49.914909,,,0,AMI:SA:place_STAN,,,0,
AMI:SP:STENDN1,,Stendhal,,2.317583,49.907863,,,0,AMI:SA:place_STEN,,,0,
AMI:SP:STENDN2,,Stendhal,,2.317569,49.908006,,,0,AMI:SA:place_STEN,,,0,
AMI:SP:STJACN1,,Saint Jacques quai A,,2.289776,49.896067,,,0,AMI:SA:place_STJ,,,0,
AMI:SP:STJACN2,,Saint Jacques quai B,,2.289554,49.896228,,,0,AMI:SA:place_STJ,,,0,
AMI:SP:STJUS1,,Saint-Just,,2.276509,49.890683,,,0,AMI:SA:place_SJUS,,,0,
AMI:SP:STJUS2,,Saint-Just,,2.275871,49.89035,,,0,AMI:SA:place_SJUS,,,0,
AMI:SP:STQUE1,,Saint-Quentin,,2.303839,49.879066,,,0,AMI:SA:place_STQU,,,0,
AMI:SP:STQUE3,,Saint-Quentin,,2.306701,49.879184,,,0,AMI:SA:place_STQU,,,0,
AMI:SP:TERRA1,,Terral,,2.292947,49.909733,,,0,AMI:SA:place_TERA,,,0,
AMI:SP:TERRA2,,Terral,,2.293281,49.90984,,,0,AMI:SA:place_TERA,,,0,
AMI:SP:TERRI1,,Terrière,,2.328986,49.886585,,,0,AMI:SA:place_TERR,,,0,
AMI:SP:TERRI2,,Terrière,,2.329167,49.886487,,,0,AMI:SA:place_TERR,,,0,
AMI:SP:THDEL1,,Thuillier-Delambre,,2.325884,49.902073,,,0,AMI:SA:place_THDE,,,0,
AMI:SP:THDEL2,,Thuillier-Delambre,,2.325203,49.902127,,,0,AMI:SA:place_THDE,,,0,
AMI:SP:TINTO1,,Le Tintoret,,2.296593,49.923382,,,0,AMI:SA:place_TINT,,,0,
AMI:SP:TINTO2,,Le Tintoret,,2.296203,49.923452,,,0,AMI:SA:place_TINT,,,0,
AMI:SP:TITIE1,,Le Titien,,2.294902,49.923017,,,0,AMI:SA:place_TITI,,,0,
AMI:SP:TITIE2,,Le Titien,,2.293923,49.922769,,,0,AMI:SA:place_TITI,,,0,
AMI:SP:TRIOL1,,Elsa Triolet,,2.332267,49.87213,,,0,AMI:SA:place_ELSA,,,0,
AMI:SP:TRIOL2,,Elsa Triolet,,2.332365,49.871789,,,0,AMI:SA:place_ELSA,,,0,
AMI:SP:UCAP1,,UCAP,,2.39062,49.850399,,,0,AMI:SA:place_UCAP,,,0,
AMI:SP:UCAP2,,UCAP,,2.390967,49.850112,,,0,AMI:SA:place_UCAP,,,0,
AMI:SP:UPJVN1,,UPJV Saint-Leu,,2.300214,49.896753,,,0,AMI:SA:place_UPJV,,,0,
AMI:SP:UPJVN2,,UPJV Saint-Leu,,2.300756,49.896735,,,0,AMI:SA:place_UPJV,,,0,
AMI:SP:VALEO1,,Valéo,,2.280185,49.933824,,,0,AMI:SA:place_VALE,,,0,
AMI:SP:VALEO2,,Valéo,,2.279935,49.933743,,,0,AMI:SA:place_VALE,,,0,
AMI:SP:VAUBA1,,Vauban,,2.303115,49.902697,,,0,AMI:SA:place_VAUB,,,0,
AMI:SP:VAUBA2,,Vauban,,2.303657,49.902717,,,0,AMI:SA:place_VAUB,,,0,
AMI:SP:VENT1,,Au Gré du Vent,,2.322459,49.872354,,,0,AMI:SA:place_VENT,,,0,
AMI:SP:VENT2,,Au Gré du Vent,,2.322737,49.872462,,,0,AMI:SA:place_VENT,,,0,
AMI:SP:VHUGO1,,Victor Hugo,,2.230919,49.913896,,,0,AMI:SA:place_VHUG,,,0,
AMI:SP:VHUGO2,,Victor Hugo,,2.231267,49.913914,,,0,AMI:SA:place_VHUG,,,0,
AMI:SP:VIGNE2,,Pinel,,2.279868,49.870483,,,0,AMI:SA:place_VIGN,,,0,
AMI:SP:VIGNE3,,Pinel,,2.28009,49.87042,,,0,AMI:SA:place_VIGN,,,0,
AMI:SP:VOLTA1,,Voltaire,,2.319238,49.907163,,,0,AMI:SA:place_VOLT,,,0,
AMI:SP:VOLTA2,,Voltaire,,2.319808,49.907252,,,0,AMI:SA:place_VOLT,,,0,
