object_id,object_system,object_code
AMI:SP:PASTE1,amiens_rt,508
AMI:SP:PASTE1,source,PASTE1
AMI:SP:PASTE2,amiens_rt,509
AMI:SP:PASTE2,source,PASTE2
AMI:SP:PBLANG,amiens_rt,518
AMI:SP:PBLANG,source,PBLANG
AMI:SP:PCAGN2,amiens_rt,520
AMI:SP:PCAGN2,source,PCAGN2
AMI:SP:PCAGNN3,amiens_rt,521
AMI:SP:PCAGNN3,source,PCAGNN3
AMI:SP:PCAMON,amiens_rt,522
AMI:SP:PCAMON,source,PCAMON
AMI:SP:PCLAU1,amiens_rt,523
AMI:SP:PCLAU1,source,PCLAU1
AMI:SP:PCLAU2,amiens_rt,524
AMI:SP:PCLAU2,source,PCLAU2
AMI:SP:PICOR1,amiens_rt,539
AMI:SP:PICOR1,source,PICOR1
AMI:SP:PICOR2,amiens_rt,540
AMI:SP:PICOR2,source,PICOR2
AMI:SP:PJEAN1,amiens_rt,545
AMI:SP:PJEAN1,source,PJEAN1
AMI:SP:PJEAN2,amiens_rt,546
AMI:SP:PJEAN2,source,PJEAN2
AMI:SP:PKRUG1,amiens_rt,550
AMI:SP:PKRUG1,source,PKRUG1
AMI:SP:PLANG2,amiens_rt,553
AMI:SP:PLANG2,source,PLANG2
AMI:SP:PLIBE1,amiens_rt,554
AMI:SP:PLIBE1,source,PLIBE1
AMI:SP:PLIBE2,amiens_rt,555
AMI:SP:PLIBE2,source,PLIBE2
AMI:SP:POLYCN1,amiens_rt,1093
AMI:SP:POLYCN1,source,POLYCN1
AMI:SP:POLYCN2,amiens_rt,1094
AMI:SP:POLYCN2,source,POLYCN2
AMI:SP:POMETZ,amiens_rt,567
AMI:SP:PROVI1,amiens_rt,575
AMI:SP:PROVI1,source,PROVI1
AMI:SP:PROVI2,amiens_rt,576
AMI:SP:PROVI2,source,PROVI2
AMI:SP:PTJEA1,amiens_rt,577
AMI:SP:PTJEA1,source,PTJEA1
AMI:SP:PTJEA2,amiens_rt,578
AMI:SP:PTJEA2,source,PTJEA2
AMI:SP:PVOGEN2,amiens_rt,1096
AMI:SP:PVOGEN4,amiens_rt,1097
AMI:SP:PVOGEN4,source,PVOGEN4
AMI:SP:QUACHN1,amiens_rt,1098
AMI:SP:QUACHN1,source,QUACHN1
AMI:SP:QUACHN2,amiens_rt,1099
AMI:SP:QUACHN2,source,QUACHN2
AMI:SP:RALLO1,amiens_rt,591
AMI:SP:RALLO1,source,RALLO1
AMI:SP:RALLO2,amiens_rt,592
AMI:SP:RALLO2,source,RALLO2
AMI:SP:RAMIE1,amiens_rt,593
AMI:SP:RAMIE1,source,RAMIE1
AMI:SP:RAMIE2,amiens_rt,594
AMI:SP:RAMIE2,source,RAMIE2
AMI:SP:RAMPO1,amiens_rt,595
AMI:SP:RAMPO1,source,RAMPO1
AMI:SP:RAMPO2,amiens_rt,596
AMI:SP:RAMPO2,source,RAMPO2
AMI:SP:REMBA1,amiens_rt,607
AMI:SP:REMBA1,source,REMBA1
AMI:SP:REMBA2,amiens_rt,608
AMI:SP:REMBA2,source,REMBA2
AMI:SP:RLEFEB,amiens_rt,617
AMI:SP:RLEFEB,source,RLEFEB
AMI:SP:RSTAD1,amiens_rt,638
AMI:SP:RSTAD1,source,RSTAD1
AMI:SP:RSTAD2,amiens_rt,639
AMI:SP:RSTAD2,source,RSTAD2
AMI:SP:RTANK1,amiens_rt,640
AMI:SP:RTANK1,source,RTANK1
AMI:SP:RTANK2,amiens_rt,641
AMI:SP:RTANK2,source,RTANK2
AMI:SP:RTANKN3,amiens_rt,273
AMI:SP:RTANKN4,amiens_rt,274
AMI:SP:RTHILN1,amiens_rt,1107
AMI:SP:RTHILN1,source,RTHILN1
AMI:SP:RTHILN2,amiens_rt,1108
AMI:SP:RTHILN2,source,RTHILN2
AMI:SP:SALEUX,amiens_rt,655
AMI:SP:SALEUX,source,SALEUX
AMI:SP:SQMARN1,amiens_rt,1112
AMI:SP:SQMARN1,source,SQMARN1
AMI:SP:SQMARN2,amiens_rt,1113
AMI:SP:SQMARN2,source,SQMARN2
AMI:SP:STRAS1,amiens_rt,680
