trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,cars_allowed
15-L-2-B-051701,L,15_SEMAINE,POLE ECHANGES NORD,,1,,,,,
15-L-5-B-053701,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-4-B-055101,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-6-B-055101,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-2-B-061100,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-7-B-061101,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-8-B-062901,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-5-B-063101,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-4-B-064900,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-6-B-065101,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-7-B-070900,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-2-B-070901,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-5-B-072800,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-8-B-072901,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-4-B-074800,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-6-B-074800,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-2-B-080700,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-7-B-080800,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-8-B-082700,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-5-B-082800,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-4-B-084500,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-6-B-084800,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-7-B-090500,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-2-B-090800,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-5-B-092500,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-8-B-092800,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-6-B-094500,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-4-B-094800,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-2-B-100500,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-7-B-100800,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-8-B-102500,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-5-B-102700,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-4-B-104500,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-6-B-104700,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-7-B-110500,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-2-B-110600,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-9-B-112401,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-8-B-112600,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-5-B-113900,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-4-B-114600,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-6-B-115900,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-7-B-120600,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-2-B-121800,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-9-B-122600,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-8-B-123800,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-5-B-124601,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-4-B-125800,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-6-B-130601,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-7-B-131800,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-2-B-132601,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-9-B-133700,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-8-B-134601,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-5-B-135800,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-4-B-140601,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-6-B-141800,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-7-B-142601,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-2-B-143800,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-9-B-144601,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-8-B-150000,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-5-B-150601,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-4-B-151800,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-6-B-152601,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-7-B-153800,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-2-B-154601,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-9-B-155800,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-8-B-160501,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-5-B-161900,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-4-B-162400,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-6-B-163900,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-7-B-164400,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-2-B-165800,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-9-B-170400,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-8-B-171900,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-5-B-172400,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-4-B-173900,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-6-B-174400,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-7-B-175900,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-2-B-180501,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-9-B-182000,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-8-B-182601,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-5-B-184100,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-4-B-184501,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-2-B-190800,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-7-B-191101,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-8-B-192800,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-9-B-193701,L,15_SEMAINE,C. CIAL. NORD,,1,,,,,
15-L-7-B-201300,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-1-B-202901,L,15_SEMAINE,POLE ECHANGES NORD,,1,,,,,
15-L-9-B-204500,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-3-B-204901,L,15_SEMAINE,POLE ECHANGES NORD,,1,,,,,
15-L-7-B-212501,L,15_SEMAINE,POLE ECHANGES NORD,,1,,,,,
15-L-1-B-212600,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-1-B-221500,L,15_SEMAINE,POLE ECHANGES NORD,,1,,,,,
15-L-7-B-222600,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-1-B-230600,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-7-B-231601,L,15_SEMAINE,POLE ECHANGES NORD,,1,,,,,
16-L-1-6-073701,L,16_DIMANCHE,CHU A. PICARDIE,,0,,,,,
16-L-2-6-075501,L,16_DIMANCHE,C. CIAL. NORD,,1,,,,,
16-L-2-6-085000,L,16_DIMANCHE,CHU A. PICARDIE,,0,,,,,
