stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
366,366,La Grenouillère,49.859539,2.233007,0
367,367,Simone Veil C,49.893646,2.284638,0
368,368,Simone Veil D,49.893726,2.284527,0
134,134,Simone Veil A,49.893082,2.285598,0
144,144,Simone Veil B,49.892937,2.285848,0
145,145,Simone Veil F,49.894474,2.287194,0
146,146,Simone Veil E,49.894005,2.286695,0
369,369,Résidence Grant,49.917408,2.274004,0
370,370,Résidence Grant,49.917595,2.27367,0
372,372,Le Hameau,49.834995,2.303204,0
373,373,Le Hameau,49.834698,2.302773,0
376,376,Henri Grémont,49.873493,2.247274,0
377,377,Henri Grémont,49.872974,2.24633,0
378,378,H. des Impôts,49.878735,2.311983,0
379,379,H. des Impôts,49.878895,2.312011,0
913,913,Hippodrome,49.896999,2.27175,0
914,914,Hippodrome,49.897133,2.271389,0
380,380,Hôpital Nord,49.907288,2.290059,0
381,381,Hôpital Nord,49.907825,2.290726,0
382,382,Saint-Honoré,49.887356,2.287966,0
383,383,Saint-Honoré,49.887363,2.288035,0
955,955,Siberchicot,49.878056,2.256755,0
905,905,CHU Quai B,49.874184,2.254816,0
954,954,Siberchicot,49.878582,2.256879,0
1052,1052,CHU Quai A,49.874821,2.255107,0
1013,1013,CHU A. Picardie Quai B,49.874184,2.254789,0
906,906,CHU Quai C,49.874157,2.254344,0
147,147,Laënnec Quai C,49.87141,2.25614,0
1131,1131,Laënnec Quai C,49.87141,2.256155,0
151,151,Laënnec Quai A,49.871941,2.256598,0
157,157,Laënnec Quai B,49.872013,2.256654,0
1053,1053,Hôtel de Ville,49.892933,2.295507,0
1054,1054,Dusevel,49.894318,2.298661,0
389,389,I. Deflesselle,49.947552,2.31085,0
390,390,Ilôt St-Maurice,49.909061,2.284483,0
391,391,Ilôt St-Maurice,49.909473,2.284385,0
1055,1055,I.M.E.,49.865585,2.277625,0
1056,1056,I.M.E.,49.865719,2.277944,0
330,330,IUT,49.869987,2.266048,0
156,156,IUT,49.870014,2.265867,0
1057,1057,Jacobins,49.892109,2.298426,0
395,395,Janvier,49.880852,2.304771,0
396,396,Janvier,49.88208,2.304534,0
1058,1058,Jean Jaurès,49.898369,2.286357,0
1059,1059,Jean Jaurès,49.898533,2.286204,0
1223,1223,Jean Catelas,49.857777,2.237885,0
399,399,Jean Moulin,49.876743,2.269206,0
400,400,Jean Moulin,49.876877,2.269525,0
401,401,Joffre,49.887798,2.302849,0
402,402,Joffre,49.887978,2.303502,0
403,403,Joinville,49.877766,2.286905,0
404,404,Joinville,49.877785,2.287669,0
409,409,Kintrabell,49.899891,2.22457,0
814,814,Saint-Ladre,49.920502,2.292286,0
813,813,Saint-Ladre,49.920639,2.292355,0
1060,1060,Languedoc,49.916569,2.255623,0
1061,1061,Languedoc,49.916607,2.255776,0
413,413,La Place,49.969166,2.299717,0
414,414,La Place,49.970081,2.298464,0
415,415,Latapie,49.864048,2.344382,0
416,416,Latapie,49.864407,2.345313,0
417,417,Laurendeau,49.886147,2.295943,0
418,418,Laurendeau,49.885948,2.296068,0
419,419,Louis Blanc,49.901749,2.272717,0
420,420,Louis Blanc,49.900661,2.273455,0
1062,1062,Nautilus,49.910667,2.311828,0
1063,1063,Nautilus,49.910633,2.31212,0
425,425,Lycée La Hotoie,49.897888,2.273292,0
426,426,Lycée La Hotoie,49.897133,2.273168,0
1064,1064,Libération A,49.886902,2.279003,0
1065,1065,Libération B,49.887306,2.279489,0
165,165,Libération C,49.886265,2.279129,0
166,166,Libération D,49.886372,2.277461,0
167,167,Libération E,49.887054,2.278419,0
429,429,Louise Michel,49.892914,2.344164,0
430,430,Louise Michel,49.892643,2.342927,0
1128,1128,Hélène Lockert,49.885269,2.267457,0
1129,1129,Hélène Lockert,49.885422,2.268305,0
431,431,Longueau SNCF,49.863697,2.351952,0
1209,1209,Longueville,49.888569,2.294468,0
45,45,Lucien Barbier,49.89872,2.346805,0
616,616,Lucien Barbier,49.898705,2.347653,0
819,819,Lucien Fournier,49.894356,2.280982,0
820,820,Lucien Fournier,49.89455,2.281496,0
1066,1066,L. de Luzarches,49.884949,2.321137,0
1067,1067,L. de Luzarches,49.885288,2.320345,0
943,943,M. Culture D,49.894505,2.29324,0
2056,2056,M. Culture A,49.894573,2.292239,0
2057,2057,M. Culture B,49.894405,2.292476,0
1068,1068,M. Culture C,49.893578,2.292852,0
440,440,Gutenberg,49.915104,2.279249,0
441,441,Gutenberg,49.915409,2.27872,0
442,442,Michel Ange,49.921989,2.300614,0
443,443,Michel Ange,49.921917,2.300642,0
1069,1069,Espagne,49.871452,2.284925,0
1070,1070,Espagne,49.871471,2.284911,0
446,446,Marivaux,49.91164,2.324577,0
447,447,Marivaux,49.912388,2.324312,0
448,448,Maison d'Arrêt,49.908138,2.322881,0
449,449,Maison d'Arrêt,49.908344,2.32391,0
450,450,Les Marronniers,49.91016,2.33043,0
451,451,Les Marronniers,49.909927,2.329318,0
168,168,Matifas,49.898911,2.332114,0
169,169,Matifas,49.898766,2.332155,0
452,452,Boves M.Barbier,49.848991,2.375998,0
453,453,Boves M.Barbier,49.849003,2.376067,0
454,454,Mairie de Boves,49.845932,2.391672,0
455,455,Mairie de Boves,49.845844,2.391269,0
456,456,Mairie de Camon,49.88765,2.344621,0
